ID,Ingredients,Cocktail Name
1,Gin + Vodka + Blueberry Juice + Pineapple Juice + Lemonade,Caliente Tranquillo
2,Gin + Blueberry Juice + Blue Curacao + Coca-Cola + Lemonade,Super Summer Whisper
3,Rum + Blueberry Juice + Coca-Cola,Nymeria
4,Gin + Pineapple Juice + Lemonade,Benjen Stark
5,Gin + Blueberry Juice + Pineapple Juice + Grenadine + Jamnica + Lemonade,Pure Tiki Enigma
6,Gin + Rum + Grenadine + Blue Curacao + Jamnica + Lemonade,Electric Glow
7,Rum + Orange Juice + Cranberry Juice + Jamnica + Lemonade,Solar Frost
8,Vodka + Rum + Orange Juice + Pineapple Juice + Grenadine + Blue Curacao + Coca-Cola,Oceanic Breeze
9,Gin + Vodka + Orange Juice + Cranberry Juice + Jamnica + Lemonade,Epic Coastal Bliss
10,Vodka + Cranberry Juice + Pineapple Juice + Coca-Cola + Jamnica + Lemonade,Grand Rogue Haven
11,Gin + Rum + Cranberry Juice + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Dark Oceanic Spell
12,Gin + Vodka + Blueberry Juice + Pineapple Juice + Jamnica + Lemonade,Royal Pirate Haven
13,Gin + Vodka + Orange Juice + Blueberry Juice + Lemonade,Bello Ritmo
14,Vodka + Rum + Cranberry Juice + Grenadine + Coca-Cola,Dark Jungle Oasis
15,Vodka + Rum + Orange Juice + Coca-Cola,Santo Tranquillo
16,Rum + Jamnica + Lemonade,Alliser Thorne
17,Vodka + Blueberry Juice + Grenadine + Coca-Cola + Jamnica + Lemonade,Grand Rogue Aura
18,Vodka + Orange Juice + Cranberry Juice + Grenadine + Coca-Cola + Jamnica + Lemonade,Saffron Frost
19,Gin + Vodka + Blueberry Juice + Pineapple Juice + Coca-Cola + Jamnica + Lemonade,Neon Secret Breeze
20,Gin + Rum + Cranberry Juice + Pineapple Juice + Grenadine + Blue Curacao,Grand Velvet Bliss
21,Vodka + Cranberry Juice + Pineapple Juice + Grenadine + Blue Curacao + Coca-Cola,Wild Haunted Surge
22,Gin + Vodka + Blueberry Juice + Pineapple Juice + Blue Curacao + Lemonade,Super Caribbean Lagoon
23,Gin + Blueberry Juice + Pineapple Juice + Grenadine + Lemonade,Dark Tiki Monsoon
24,Gin + Cranberry Juice + Grenadine + Jamnica,Alma Pura
25,Gin + Blueberry Juice + Pineapple Juice + Blue Curacao,Cascada Real
26,Vodka + Rum + Orange Juice + Grenadine + Jamnica,Crimson Ritual
27,Gin + Vodka + Cranberry Juice + Blueberry Juice + Grenadine,Fuerte Lobo
28,Rum + Cranberry Juice + Pineapple Juice + Grenadine + Coca-Cola + Jamnica + Lemonade,Tropical Flash
29,Gin + Cranberry Juice + Pineapple Juice + Coca-Cola + Jamnica + Lemonade,Imperial Cascade
30,Rum + Blueberry Juice + Pineapple Juice + Grenadine + Coca-Cola,Pure Smoky Splash
31,Vodka + Cranberry Juice + Pineapple Juice + Grenadine + Lemonade,Caribbean Noir
32,Vodka + Orange Juice + Blueberry Juice + Grenadine + Coca-Cola + Jamnica + Lemonade,Tropical Enigma
33,Gin + Orange Juice + Cranberry Juice + Grenadine + Coca-Cola + Jamnica + Lemonade,Pure Vesper Oasis
34,Vodka + Orange Juice + Blueberry Juice,Valyria
35,Gin + Rum + Cranberry Juice + Blueberry Juice + Grenadine + Jamnica + Lemonade,Island Breeze
36,Gin + Rum + Pineapple Juice + Blue Curacao + Lemonade,Grand Tiki Shadow
37,Gin + Blueberry Juice + Grenadine + Blue Curacao + Coca-Cola,Neon Velvet Oasis
38,Gin + Rum + Orange Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica,Dark Jungle Spell
39,Rum + Blueberry Juice + Coca-Cola + Jamnica + Lemonade,Jungle Phantom
40,Gin + Vodka + Cranberry Juice + Grenadine + Blue Curacao + Coca-Cola,Grand Haunted Ritual
41,Gin + Vodka + Orange Juice + Pineapple Juice + Jamnica,Fuerte Tranquillo
42,Gin + Orange Juice + Pineapple Juice + Grenadine + Coca-Cola + Jamnica,Royal Velvet Enigma
43,Gin + Rum + Pineapple Juice + Grenadine + Coca-Cola + Lemonade,Super Tiki Shadow
44,Gin + Blue Curacao + Coca-Cola + Lemonade,Gran Estrella
45,Vodka + Rum + Grenadine + Coca-Cola,Loco Mar
46,Vodka + Orange Juice + Cranberry Juice + Grenadine + Blue Curacao + Lemonade,Wild Obsidian Oasis
47,Gin + Orange Juice + Grenadine + Blue Curacao + Lemonade,Raging Enigma
48,Vodka + Rum + Orange Juice + Cranberry Juice + Grenadine + Blue Curacao + Lemonade,Flix Glow
49,Gin + Rum + Cranberry Juice + Pineapple Juice + Coca-Cola + Lemonade,Royal Secret Enigma
50,Vodka + Orange Juice + Blue Curacao + Coca-Cola,Puro Pirata
